"CurrentApplication","Date"
"powershell_ise","06-04-2017 09:46:33"
"powershell_ise","06-04-2017 09:46:34"
"powershell_ise","06-04-2017 09:46:35"
"powershell_ise","06-04-2017 09:46:36"
"powershell_ise","06-04-2017 09:46:37"
"powershell_ise","06-04-2017 09:46:38"
"powershell_ise","06-04-2017 09:46:39"
"cmd","06-04-2017 09:46:41"
"cmd","06-04-2017 09:46:43"
"powershell_ise","06-04-2017 09:47:02"
"powershell_ise","06-04-2017 09:47:03"
"chrome","06-04-2017 09:47:04"
"chrome","06-04-2017 09:47:05"
"notepad","06-04-2017 09:47:06"
"Taskmgr","06-04-2017 09:47:13"
"Taskmgr","06-04-2017 09:47:14"
"Taskmgr","06-04-2017 09:47:15"
"Taskmgr","06-04-2017 09:47:16"
"Taskmgr","06-04-2017 09:47:17"
"Taskmgr","06-04-2017 09:47:18"
"Taskmgr","06-04-2017 09:47:19"
"Taskmgr","06-04-2017 09:47:20"
"explorer","06-04-2017 09:47:21"
"notepad","06-04-2017 09:47:24"
"notepad","06-04-2017 09:47:25"
"notepad","06-04-2017 09:47:27"
"notepad","06-04-2017 09:47:30"
"notepad","06-04-2017 09:47:31"
"powershell_ise","06-04-2017 09:47:44"
"powershell_ise","06-04-2017 09:47:45"
"powershell_ise","06-04-2017 09:47:46"
"powershell_ise","06-04-2017 09:47:47"
"powershell_ise","06-04-2017 09:47:48"
"powershell_ise","06-04-2017 09:47:49"
"powershell_ise","06-04-2017 09:47:50"
"powershell_ise","06-04-2017 09:47:51"
"powershell_ise","06-04-2017 09:47:52"
"powershell_ise","06-04-2017 09:47:53"
"powershell_ise","06-04-2017 09:48:02"
"powershell_ise","06-04-2017 09:48:03"
"powershell_ise","06-04-2017 09:48:08"
"powershell_ise","06-04-2017 09:48:09"
"explorer","06-04-2017 09:48:10"
"powershell_ise","06-04-2017 09:48:12"
"powershell_ise","06-04-2017 09:48:13"
"powershell_ise","06-04-2017 09:48:14"
"powershell_ise","06-04-2017 09:48:15"
"powershell_ise","06-04-2017 09:48:16"
"powershell_ise","06-04-2017 09:48:17"
"powershell_ise","06-04-2017 09:48:18"
"powershell_ise","06-04-2017 09:48:19"
"powershell_ise","06-04-2017 09:48:20"
"powershell_ise","06-04-2017 09:48:21"
"powershell_ise","06-04-2017 09:48:22"
"powershell_ise","06-04-2017 09:48:23"
"powershell_ise","06-04-2017 09:48:24"
"powershell_ise","06-04-2017 09:48:26"
"cmd","06-04-2017 09:48:28"
"powershell_ise","06-04-2017 09:48:31"
"powershell_ise","06-04-2017 09:48:32"
"powershell_ise","06-04-2017 09:48:33"
"explorer","06-04-2017 09:48:36"
"Taskmgr","06-04-2017 09:48:37"
"Taskmgr","06-04-2017 09:48:38"
"Taskmgr","06-04-2017 09:48:39"
"Taskmgr","06-04-2017 09:48:40"
"powershell_ise","06-04-2017 09:48:41"
"powershell_ise","06-04-2017 09:48:43"
"powershell_ise","06-04-2017 09:48:44"
"powershell_ise","06-04-2017 09:48:45"
"powershell_ise","06-04-2017 09:48:46"
"powershell_ise","06-04-2017 09:48:47"
"powershell_ise","06-04-2017 09:48:48"
"powershell_ise","06-04-2017 09:48:49"
"powershell_ise","06-04-2017 09:48:50"
"explorer","06-04-2017 09:48:52"
"chrome","06-04-2017 09:54:01"
"chrome","06-04-2017 09:54:02"
"chrome","06-04-2017 09:54:03"
"chrome","06-04-2017 09:54:04"
"chrome","06-04-2017 09:54:05"
"chrome","06-04-2017 09:54:07"
"chrome","06-04-2017 09:54:08"
"chrome","06-04-2017 09:54:09"
"chrome","06-04-2017 09:54:10"
"chrome","06-04-2017 09:54:11"
"chrome","06-04-2017 09:54:12"
"chrome","06-04-2017 09:54:13"
"chrome","06-04-2017 09:54:14"
"chrome","06-04-2017 09:54:15"
"chrome","06-04-2017 09:54:16"
"chrome","06-04-2017 09:54:17"
"chrome","06-04-2017 09:54:18"
"chrome","06-04-2017 09:54:19"
"chrome","06-04-2017 09:54:20"
"chrome","06-04-2017 09:54:21"
"chrome","06-04-2017 09:54:22"
"chrome","06-04-2017 09:54:23"
"chrome","06-04-2017 09:54:25"
"chrome","06-04-2017 09:54:26"
"chrome","06-04-2017 09:54:27"
"chrome","06-04-2017 09:54:28"
"chrome","06-04-2017 09:54:29"
"chrome","06-04-2017 09:54:30"
"chrome","06-04-2017 09:54:31"
"chrome","06-04-2017 09:54:32"
"chrome","06-04-2017 09:54:33"
"chrome","06-04-2017 09:54:34"
"chrome","06-04-2017 09:54:35"
"chrome","06-04-2017 09:54:36"
"chrome","06-04-2017 09:54:37"
"chrome","06-04-2017 09:54:38"
"chrome","06-04-2017 09:54:40"
"chrome","06-04-2017 09:54:41"
"chrome","06-04-2017 09:54:42"
"chrome","06-04-2017 09:54:43"
"chrome","06-04-2017 09:54:44"
"chrome","06-04-2017 09:54:45"
"chrome","06-04-2017 09:54:46"
"chrome","06-04-2017 09:54:47"
"chrome","06-04-2017 09:54:48"
"chrome","06-04-2017 09:54:49"
"chrome","06-04-2017 09:54:50"
"chrome","06-04-2017 09:54:51"
"chrome","06-04-2017 09:54:52"
"chrome","06-04-2017 09:54:53"
"chrome","06-04-2017 09:54:54"
"chrome","06-04-2017 09:54:55"
"chrome","06-04-2017 09:54:57"
"chrome","06-04-2017 09:54:58"
"chrome","06-04-2017 09:54:59"
"chrome","06-04-2017 09:55:00"
"chrome","06-04-2017 09:55:01"
"chrome","06-04-2017 09:55:02"
"chrome","06-04-2017 09:55:03"
"chrome","06-04-2017 09:55:04"
"chrome","06-04-2017 09:55:05"
"chrome","06-04-2017 09:55:06"
"chrome","06-04-2017 09:55:07"
"chrome","06-04-2017 09:55:08"
"chrome","06-04-2017 09:55:09"
"chrome","06-04-2017 09:55:10"
"chrome","06-04-2017 09:55:11"
"chrome","06-04-2017 09:55:12"
"chrome","06-04-2017 09:55:14"
"chrome","06-04-2017 09:55:15"
"chrome","06-04-2017 09:55:16"
"chrome","06-04-2017 09:55:17"
"chrome","06-04-2017 09:55:18"
"chrome","06-04-2017 09:55:19"
"chrome","06-04-2017 09:55:20"
"chrome","06-04-2017 09:55:21"
"chrome","06-04-2017 09:55:22"
"chrome","06-04-2017 09:55:23"
"chrome","06-04-2017 09:55:24"
"chrome","06-04-2017 09:55:25"
"chrome","06-04-2017 09:55:26"
"chrome","06-04-2017 09:55:27"
"chrome","06-04-2017 09:55:28"
"chrome","06-04-2017 09:55:29"
"chrome","06-04-2017 09:55:31"
"chrome","06-04-2017 09:55:32"
"chrome","06-04-2017 09:55:33"
"chrome","06-04-2017 09:55:34"
"chrome","06-04-2017 09:55:35"
"chrome","06-04-2017 09:55:36"
"chrome","06-04-2017 09:55:37"
"chrome","06-04-2017 09:55:38"
"chrome","06-04-2017 09:55:39"
"chrome","06-04-2017 09:55:40"
"chrome","06-04-2017 09:55:41"
"chrome","06-04-2017 09:55:42"
"chrome","06-04-2017 09:55:43"
"chrome","06-04-2017 09:55:45"
"chrome","06-04-2017 09:55:46"
"chrome","06-04-2017 09:55:47"
"chrome","06-04-2017 09:55:48"
"chrome","06-04-2017 09:55:49"
"chrome","06-04-2017 09:55:50"
"chrome","06-04-2017 09:55:51"
"chrome","06-04-2017 09:55:52"
"chrome","06-04-2017 09:55:53"
"chrome","06-04-2017 09:55:54"
"chrome","06-04-2017 09:55:55"
"chrome","06-04-2017 09:55:56"
"chrome","06-04-2017 09:55:57"
"chrome","06-04-2017 09:55:58"
"chrome","06-04-2017 09:56:00"
"chrome","06-04-2017 09:56:01"
"chrome","06-04-2017 09:56:02"
"chrome","06-04-2017 09:56:03"
"chrome","06-04-2017 09:56:04"
"chrome","06-04-2017 09:56:05"
"chrome","06-04-2017 09:56:06"
"chrome","06-04-2017 09:56:07"
"chrome","06-04-2017 09:56:08"
"chrome","06-04-2017 09:56:09"
"chrome","06-04-2017 09:56:10"
"chrome","06-04-2017 09:56:11"
"chrome","06-04-2017 09:56:12"
"chrome","06-04-2017 09:56:13"
"chrome","06-04-2017 09:56:14"
"chrome","06-04-2017 09:56:15"
"chrome","06-04-2017 09:56:16"
"chrome","06-04-2017 09:56:18"
"chrome","06-04-2017 09:56:19"
"chrome","06-04-2017 09:56:20"
"chrome","06-04-2017 09:56:21"
"chrome","06-04-2017 09:56:22"
"chrome","06-04-2017 09:56:23"
"chrome","06-04-2017 09:56:24"
"chrome","06-04-2017 09:56:25"
"chrome","06-04-2017 09:56:26"
"chrome","06-04-2017 09:56:27"
"chrome","06-04-2017 09:56:28"
"chrome","06-04-2017 09:56:29"
"chrome","06-04-2017 09:56:30"
"chrome","06-04-2017 09:56:31"
"chrome","06-04-2017 09:56:33"
"chrome","06-04-2017 09:56:34"
"chrome","06-04-2017 09:56:35"
"chrome","06-04-2017 09:56:36"
"chrome","06-04-2017 09:56:37"
"chrome","06-04-2017 09:56:38"
"chrome","06-04-2017 09:56:39"
"chrome","06-04-2017 09:56:40"
"chrome","06-04-2017 09:56:41"
"chrome","06-04-2017 09:56:42"
"chrome","06-04-2017 09:56:43"
"chrome","06-04-2017 09:56:44"
"chrome","06-04-2017 09:56:45"
"chrome","06-04-2017 09:56:46"
"chrome","06-04-2017 09:56:48"
"chrome","06-04-2017 09:56:49"
"chrome","06-04-2017 09:56:50"
"chrome","06-04-2017 09:56:51"
"chrome","06-04-2017 09:56:52"
"chrome","06-04-2017 09:56:53"
"chrome","06-04-2017 09:56:54"
"chrome","06-04-2017 09:56:55"
"chrome","06-04-2017 09:56:56"
"chrome","06-04-2017 09:56:57"
"ApplicationFrameHost","06-04-2017 09:57:06"
"ApplicationFrameHost","06-04-2017 09:57:07"
"ApplicationFrameHost","06-04-2017 09:57:10"
"ApplicationFrameHost","06-04-2017 09:57:11"
"ApplicationFrameHost","06-04-2017 09:57:12"
"ApplicationFrameHost","06-04-2017 09:57:13"
"ApplicationFrameHost","06-04-2017 09:57:14"
"ApplicationFrameHost","06-04-2017 09:57:15"
"ApplicationFrameHost","06-04-2017 09:57:16"
"ApplicationFrameHost","06-04-2017 09:57:17"
"ApplicationFrameHost","06-04-2017 09:57:19"
"ApplicationFrameHost","06-04-2017 09:57:20"
"ApplicationFrameHost","06-04-2017 09:57:21"
"ApplicationFrameHost","06-04-2017 09:57:31"
"ApplicationFrameHost","06-04-2017 09:57:32"
"ApplicationFrameHost","06-04-2017 09:57:33"
"ApplicationFrameHost","06-04-2017 09:57:34"
"ApplicationFrameHost","06-04-2017 09:57:36"
"ApplicationFrameHost","06-04-2017 09:57:37"
"ApplicationFrameHost","06-04-2017 09:57:38"
"ApplicationFrameHost","06-04-2017 09:57:39"
"ApplicationFrameHost","06-04-2017 09:57:40"
"ApplicationFrameHost","06-04-2017 09:57:41"
"ApplicationFrameHost","06-04-2017 09:57:42"
"ApplicationFrameHost","06-04-2017 09:57:43"
"ApplicationFrameHost","06-04-2017 09:57:44"
"ApplicationFrameHost","06-04-2017 09:57:45"
"ApplicationFrameHost","06-04-2017 09:57:46"
"ApplicationFrameHost","06-04-2017 09:57:47"
"ApplicationFrameHost","06-04-2017 09:57:48"
"ApplicationFrameHost","06-04-2017 09:57:49"
"ApplicationFrameHost","06-04-2017 09:57:50"
"ApplicationFrameHost","06-04-2017 09:57:51"
"ApplicationFrameHost","06-04-2017 09:57:52"
"ApplicationFrameHost","06-04-2017 09:57:54"
"ApplicationFrameHost","06-04-2017 09:57:55"
"ApplicationFrameHost","06-04-2017 09:57:56"
"ApplicationFrameHost","06-04-2017 09:57:57"
"notepad","06-04-2017 09:58:43"
"notepad","06-04-2017 09:58:44"
"notepad","06-04-2017 09:58:47"
"notepad","06-04-2017 09:58:48"
"notepad","06-04-2017 09:58:54"
"notepad","06-04-2017 09:58:55"
"notepad","06-04-2017 09:58:56"
"notepad","06-04-2017 09:58:57"
"OUTLOOK","06-04-2017 09:59:13"
"OUTLOOK","06-04-2017 09:59:14"
"OUTLOOK","06-04-2017 09:59:15"
"OUTLOOK","06-04-2017 09:59:16"
"OUTLOOK","06-04-2017 09:59:18"
"OUTLOOK","06-04-2017 09:59:19"
"OUTLOOK","06-04-2017 09:59:20"
"OUTLOOK","06-04-2017 09:59:21"
